Ranking,Team Name,Hyperlink,Wins,Losses,Ties,Winning Percentage,Season
44,Army West Point (Patriot),https://stats.ncaa.org/team/725.0/11620,33,33-18,18,0,2013-14
45,New Mexico (Mountain West),https://stats.ncaa.org/team/473.0/11620,37,37-20-1,20,1,2013-14
46,FIU (CUSA),https://stats.ncaa.org/team/231.0/11620,36,36-20,20,0,2013-14
47,FGCU (ASUN),https://stats.ncaa.org/team/28755.0/11620,39,39-22,22,0,2013-14
48,Delaware St. (MEAC),https://stats.ncaa.org/team/178.0/11620,30,30-17,17,0,2013-14
49,St. John's (NY) (Big East),https://stats.ncaa.org/team/603.0/11620,35,35-20,20,0,2013-14
50,Maryland (ACC),https://stats.ncaa.org/team/392.0/11620,40,40-23,23,0,2013-14
50,Florida (SEC),https://stats.ncaa.org/team/235.0/11620,40,40-23,23,0,2013-14
50,Ga. Southern (SoCon),https://stats.ncaa.org/team/253.0/11620,40,40-23,23,0,2013-14
53,San Diego (WCC),https://stats.ncaa.org/team/627.0/11620,34,34-20,20,0,2013-14
54,UAB (CUSA),https://stats.ncaa.org/team/9.0/11620,35,35-21,21,0,2013-14
54,Sacramento St. (WAC),https://stats.ncaa.org/team/102.0/11620,40,40-24,24,0,2013-14
54,Kennesaw St. (ASUN),https://stats.ncaa.org/team/1157.0/11620,40,40-24,24,0,2013-14
57,UC Irvine (Big West),https://stats.ncaa.org/team/109.0/11620,41,41-25,25,0,2013-14
58,Mississippi St. (SEC),https://stats.ncaa.org/team/430.0/11620,39,39-24,24,0,2013-14
59,Evansville (MVC),https://stats.ncaa.org/team/219.0/11620,34,34-21,21,0,2013-14
60,Saint Louis (Atlantic 10),https://stats.ncaa.org/team/609.0/11620,34,34-21-1,21,1,2013-14
61,Arkansas (SEC),https://stats.ncaa.org/team/31.0/11620,40,40-25,25,0,2013-14
62,Wright St. (Horizon),https://stats.ncaa.org/team/810.0/11620,35,35-22,22,0,2013-14
63,UCF (AAC),https://stats.ncaa.org/team/128.0/11620,36,36-23,23,0,2013-14
63,Kent St. (MAC),https://stats.ncaa.org/team/331.0/11620,36,36-23,23,0,2013-14
65,William & Mary (CAA),https://stats.ncaa.org/team/786.0/11620,34,34-22,22,0,2013-14
65,George Mason (Atlantic 10),https://stats.ncaa.org/team/248.0/11620,34,34-22,22,0,2013-14
67,Alabama (SEC),https://stats.ncaa.org/team/8.0/11620,37,37-24,24,0,2013-14
68,Davidson (SoCon),https://stats.ncaa.org/team/173.0/11620,29,29-19,19,0,2013-14
69,Illinois (Big Ten),https://stats.ncaa.org/team/301.0/11620,32,32-21,21,0,2013-14
70,Central Mich. (MAC),https://stats.ncaa.org/team/129.0/11620,35,35-23,23,0,2013-14
71,Southeastern La. (Southland),https://stats.ncaa.org/team/655.0/11620,38,38-25,25,0,2013-14
72,High Point (Big South),https://stats.ncaa.org/team/19651.0/11620,33,33-22,22,0,2013-14
72,Illinois St. (MVC),https://stats.ncaa.org/team/299.0/11620,33,33-22,22,0,2013-14
74,Kentucky (SEC),https://stats.ncaa.org/team/334.0/11620,37,37-25,25,0,2013-14
75,Bucknell (Patriot),https://stats.ncaa.org/team/83.0/11620,31,31-21-1,21,1,2013-14
76,Central Ark. (Southland),https://stats.ncaa.org/team/1004.0/11620,32,32-22,22,0,2013-14
77,Columbia (Ivy League),https://stats.ncaa.org/team/158.0/11620,29,29-20,20,0,2013-14
78,UNLV (Mountain West),https://stats.ncaa.org/team/465.0/11620,36,36-25,25,0,2013-14
78,Clemson (ACC),https://stats.ncaa.org/team/147.0/11620,36,36-25,25,0,2013-14
80,Radford (Big South),https://stats.ncaa.org/team/563.0/11620,33,33-23,23,0,2013-14
81,Cal St. Fullerton (Big West),https://stats.ncaa.org/team/97.0/11620,34,34-24,24,0,2013-14
82,Penn (Ivy League),https://stats.ncaa.org/team/540.0/11620,24,24-17,17,0,2013-14
83,Samford (SoCon),https://stats.ncaa.org/team/625.0/11620,35,35-25,25,0,2013-14
83,Southern Miss. (CUSA),https://stats.ncaa.org/team/664.0/11620,35,35-25,25,0,2013-14
85,Fairfield (MAAC),https://stats.ncaa.org/team/220.0/11620,32,32-23,23,0,2013-14
85,NC State (ACC),https://stats.ncaa.org/team/490.0/11620,32,32-23,23,0,2013-14
87,Old Dominion (CUSA),https://stats.ncaa.org/team/523.0/11620,36,36-26,26,0,2013-14
87,Texas A&M (SEC),https://stats.ncaa.org/team/697.0/11620,36,36-26,26,0,2013-14
